,country,age_group,purpose,main_activity,info_source,tour_arrangement,package_accomodation,package_food,package_transport_tz,package_insurance,payment_mode,first_trip_tz,total_cost
17,MYANMAR,25-44,Meetings and Conference,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,Yes,331500.0
18,GERMANY,25-44,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2269330.0
19,KENYA,25-44,Business,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,No,377520.0
20,UNITED KINGDOM,1-24,Volunteering,Cultural tourism,Tanzania Mission Abroad,Independent,No,No,No,No,Cash,Yes,711262.5
21,KENYA,45-64,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,497250.0
22,SWIZERLAND,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,No,No,No,Credit Card,No,7458750.0
23,ALGERIA,25-44,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,Yes,3734347.5
24,IRELAND,1-24,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,Cash,Yes,5673325.0
25,DENMARK,1-24,Scientific and Academic,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,400000.0
26,UNITED KINGDOM,25-44,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Credit Card,Yes,663000.0
27,GERMANY,1-24,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,453866.0
28,SPAIN,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,25442625.0
29,FRANCE,1-24,Leisure and Holidays,Conference tourism,others,Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,6961500.0
30,UNITED KINGDOM,1-24,Volunteering,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,No,1707030.0
31,UNITED KINGDOM,45-64,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,5690100.0
32,ITALY,45-64,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,No,No,Cash,Yes,2652000.0
33,EGYPT,1-24,Visiting Friends and Relatives,Bird watching,"Travel, agent, tour operator",Package Tour,Yes,No,No,No,Cash,Yes,2320500.0
34,UNITED KINGDOM,45-64,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,4267575.0
35,QATAR,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,No,17316000.0
36,MOZAMBIQUE,1-24,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,663000.0
37,KENYA,45-64,Scientific and Academic,Mountain climbing,inflight magazines,Package Tour,Yes,No,No,No,Credit Card,No,3812250.0
38,CHINA,25-44,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Other,No,828750.0
39,MALAWI,25-44,Meetings and Conference,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,No,3000000.0
40,UNITED KINGDOM,45-64,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,828750.0
41,UNITED KINGDOM,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,28450500.0
42,JAPAN,25-44,Volunteering,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,745875.0
43,CHINA,1-24,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,3273562.5
44,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,Cash,Yes,3397875.0
45,UNITED KINGDOM,45-64,Business,business,others,Independent,No,No,No,No,Cash,Yes,6132750.0
46,SWEDEN,45-64,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Credit Card,No,4992526.0
47,NETHERLANDS,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,1588531.0
48,FRANCE,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,34039950.0
49,UAE,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,1657500.0
50,UNITED KINGDOM,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,2845050.0
51,UGANDA,25-44,Meetings and Conference,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,1000000.0
52,IRELAND,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,712725.0
53,SWIZERLAND,1-24,Volunteering,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,900000.0
54,SPAIN,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,No,13615980.0
55,UNITED STATES OF AMERICA,25-44,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,1491750.0
56,FRANCE,65+,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2269330.0
57,UNITED KINGDOM,45-64,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,33150000.0
58,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Beach tourism,others,Independent,No,No,No,No,Cash,No,1657500.0
59,GERMANY,45-64,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,2000000.0
60,SPAIN,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,No,Yes,Cash,Yes,6807990.0
61,UGANDA,25-44,Meetings and Conference,Mountain climbing,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,700000.0
62,SPAIN,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,15885310.0
63,JAPAN,25-44,Scientific and Academic,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,90000.0
64,FRANCE,25-44,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,400000.0
65,FRANCE,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,Yes,Cash,Yes,9945000.0
66,AUSTRALIA,25-44,Leisure and Holidays,Conference tourism,"Friends, relatives",Package Tour,Yes,No,No,No,Cash,Yes,19890000.0
67,GERMANY,1-24,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2269330.0
68,UNITED KINGDOM,25-44,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Credit Card,No,16773900.0
69,UNITED KINGDOM,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,1989000.0
70,SOUTH AFRICA,25-44,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,331500.0
71,UNITED KINGDOM,45-64,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,1422525.0
72,UNITED STATES OF AMERICA,1-24,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,5801250.0
73,SOUTH AFRICA,25-44,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,No,165750.0
74,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,2652000.0
75,YEMEN,45-64,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,248625.0
76,ITALY,25-44,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,Yes,No,No,No,Cash,Yes,9077320.0
77,UNITED STATES OF AMERICA,45-64,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,1193400.0
78,UNITED KINGDOM,1-24,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,331500.0
79,ITALY,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,1989000.0
80,NETHERLANDS,25-44,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2269330.0
81,SOUTH AFRICA,25-44,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,1823250.0
82,SOUTH AFRICA,25-44,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,No,414375.0
83,SPAIN,25-44,Leisure and Holidays,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,8287500.0
84,GERMANY,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,165750.0
85,UGANDA,25-44,Visiting Friends and Relatives,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,No,4966000.0
86,NEW ZEALAND,1-24,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,1657500.0
87,AUSTRALIA,45-64,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,70000.0
88,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,4972500.0
89,NETHERLANDS,25-44,Other,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,100000.0
90,BELGIUM,45-64,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,1400000.0
91,DENMARK,65+,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,No,Yes,No,Cash,No,9892025.0
92,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,16575000.0
93,UNITED KINGDOM,25-44,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,2403375.0
94,SPAIN,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,7375875.0
95,NORWAY,1-24,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,7261380.0
96,DENMARK,65+,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,No,No,Cash,No,50553750.0
97,NETHERLANDS,45-64,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,No,1657500.0
98,UNITED KINGDOM,1-24,Volunteering,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,453866.0
99,ZIMBABWE,25-44,Scientific and Academic,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,Yes,828750.0
100,ZAMBIA,45-64,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,414375.0
101,SPAIN,25-44,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Cash,Yes,2269330.0
102,UNITED KINGDOM,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Credit Card,No,2269330.0
103,GERMANY,25-44,Leisure and Holidays,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,1657500.0
104,UNITED STATES OF AMERICA,25-44,Meetings and Conference,Wildlife tourism,others,Independent,No,No,No,No,Cash,Yes,7458750.0
105,KENYA,25-44,Meetings and Conference,Mountain climbing,Trade fair,Independent,No,No,No,No,Credit Card,No,3315000.0
106,NORWAY,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Credit Card,No,14917500.0
107,IRELAND,45-64,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Credit Card,Yes,2154750.0
108,KENYA,25-44,Visiting Friends and Relatives,Wildlife tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Credit Card,No,1044225.0
109,NETHERLANDS,65+,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,9116250.0
110,UNITED KINGDOM,25-44,Visiting Friends and Relatives,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,No,2845050.0
111,SWEDEN,25-44,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,Yes,2486250.0
112,AUSTRIA,25-44,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Package Tour,Yes,No,Yes,No,Cash,Yes,1308683.0
113,SWIZERLAND,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,38951250.0
114,CONGO,25-44,Visiting Friends and Relatives,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,893392.5
115,NORWAY,25-44,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,1707225.0
116,SOUTH AFRICA,25-44,Leisure and Holidays,Cultural tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Credit Card,Yes,1553800.0
117,UNITED KINGDOM,65+,Business,Wildlife tourism,"Travel, agent, tour operator",Package Tour,No,Yes,Yes,No,Cash,No,14509755.0
118,GERMANY,45-64,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,6807990.0
119,UNITED KINGDOM,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,33287085.0
120,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Conference tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,663000.0
121,KENYA,65+,Scientific and Academic,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,3775200.0
122,KENYA,25-44,Meetings and Conference,Beach tourism,Tanzania Mission Abroad,Package Tour,Yes,Yes,No,No,Cash,No,2060000.0
123,NORWAY,1-24,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,1674075.0
124,CHINA,1-24,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2486250.0
125,INDIA,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,2090107.5
126,UNITED STATES OF AMERICA,45-64,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,2486250.0
127,NETHERLANDS,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,3978000.0
128,UNITED KINGDOM,1-24,Volunteering,Cultural tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,5221125.0
129,UNITED STATES OF AMERICA,1-24,Leisure and Holidays,Cultural tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,3698565.0
130,SWEDEN,25-44,Meetings and Conference,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,No,663000.0
131,UNITED STATES OF AMERICA,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,21547500.0
132,ITALY,25-44,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,1657500.0
133,INDIA,25-44,Meetings and Conference,Mountain climbing,others,Independent,No,No,No,No,Credit Card,No,4558125.0
134,NEW ZEALAND,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,7458750.0
135,UNITED KINGDOM,25-44,Meetings and Conference,Mountain climbing,others,Independent,No,No,No,No,Cash,No,994500.0
136,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,Tanzania Mission Abroad,Package Tour,Yes,No,Yes,No,Cash,Yes,13591500.0
137,FRANCE,45-64,Leisure and Holidays,Beach tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,14917500.0
138,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,24199500.0
139,AUSTRALIA,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,5198457.0
140,KENYA,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,56000.0
141,CANADA,45-64,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,3000000.0
142,AUSTRALIA,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Credit Card,Yes,26779930.0
143,BELGIUM,45-64,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,1400000.0
144,CANADA,25-44,Visiting Friends and Relatives,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,778930.0
145,BELGIUM,1-24,Leisure and Holidays,Beach tourism,"Radio, TV, Web",Package Tour,Yes,Yes,No,No,Cash,Yes,14750645.0
146,JAPAN,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Cash,Yes,5138250.0
147,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,others,Independent,No,No,No,No,Cash,Yes,331500.0
148,NORWAY,25-44,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,No,1657500.0
149,KENYA,25-44,Other,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,690000.0
150,NETHERLANDS,1-24,Volunteering,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,15147777.75
151,NETHERLANDS,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,36876612.5
152,UNITED KINGDOM,1-24,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,3978000.0
153,NETHERLANDS,25-44,Meetings and Conference,Mountain climbing,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,663000.0
154,UNITED STATES OF AMERICA,1-24,Volunteering,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,Cash,Yes,1657500.0
155,SWIZERLAND,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,33481500.0
156,NETHERLANDS,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,No,Yes,No,Cash,Yes,9282000.0
157,UNITED KINGDOM,1-24,Scientific and Academic,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,1132600.0
158,UNITED STATES OF AMERICA,45-64,Visiting Friends and Relatives,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,8287500.0
159,NETHERLANDS,25-44,Business,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,2000000.0
160,BURGARIA,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,883447.5
161,UNITED KINGDOM,1-24,Leisure and Holidays,Cultural tourism,others,Independent,No,No,No,No,Cash,No,1160250.0
162,NETHERLANDS,65+,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,No,Cash,Yes,4538660.0
163,AUSTRALIA,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2269330.0
164,JAPAN,45-64,Meetings and Conference,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,1160250.0
165,SOUTH AFRICA,25-44,Scientific and Academic,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,3900000.0
166,PAKISTAN,25-44,Visiting Friends and Relatives,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,165750.0
167,GREECE,25-44,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,3403995.0
168,NETHERLANDS,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,Yes,Yes,Cash,No,26520000.0
169,INDIA,25-44,Leisure and Holidays,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,Yes,2486250.0
170,UNITED STATES OF AMERICA,25-44,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Package Tour,Yes,Yes,Yes,No,Credit Card,No,1657500.0
171,SOUTH AFRICA,45-64,Meetings and Conference,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,No,1740375.0
172,GERMANY,25-44,Leisure and Holidays,Cultural tourism,Trade fair,Independent,No,No,No,No,Cash,Yes,9077320.0
173,UNITED KINGDOM,45-64,Business,Wildlife tourism,others,Independent,No,No,No,No,Cash,No,1906125.0
174,PAKISTAN,25-44,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,564250.0
175,UNITED KINGDOM,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,34039950.0
176,FRANCE,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,No,Cash,Yes,7942655.0
177,MAURITIUS,25-44,Meetings and Conference,Mountain climbing,inflight magazines,Independent,No,No,No,No,Cash,Yes,886762.5
178,SPAIN,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,No,No,Yes,Cash,Yes,31770620.0
179,UNITED KINGDOM,25-44,Volunteering,Wildlife tourism,others,Independent,No,No,No,No,Cash,Yes,2000000.0
180,RWANDA,45-64,Meetings and Conference,Mountain climbing,"Friends, relatives",Independent,No,No,No,No,Cash,No,1160250.0
181,UNITED KINGDOM,25-44,Volunteering,Beach tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,8535150.0
182,UNITED KINGDOM,45-64,Leisure and Holidays,Wildlife tourism,others,Package Tour,Yes,Yes,Yes,No,Cash,No,1060800.0
183,UNITED STATES OF AMERICA,1-24,Volunteering,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,1110525.0
184,UNITED KINGDOM,45-64,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,No,828750.0
185,SOUTH AFRICA,25-44,Business,Wildlife tourism,others,Independent,No,No,No,No,Cash,Yes,936912.8
186,SPAIN,25-44,Leisure and Holidays,Beach tourism,"Newspaper, magazines,brochures",Independent,No,No,No,No,Credit Card,Yes,20884500.0
187,GERMANY,25-44,Leisure and Holidays,Hunting tourism,"Friends, relatives",Independent,No,No,No,No,Cash,No,1134665.0
188,RWANDA,45-64,Other,Mountain climbing,others,Independent,No,No,No,No,Cash,No,400000.0
189,BELGIUM,1-24,Volunteering,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,No,Yes,Cash,Yes,11119717.0
190,ITALY,45-64,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Package Tour,Yes,Yes,Yes,Yes,Cash,Yes,17019975.0
191,DRC,45-64,Business,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,116025.0
192,SWIZERLAND,1-24,Leisure and Holidays,Cultural tourism,"Friends, relatives",Independent,No,No,No,No,Cash,Yes,2635425.0
193,AUSTRIA,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Independent,No,No,No,No,Credit Card,No,7942655.0
194,SPAIN,25-44,Leisure and Holidays,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,Yes,3574194.75
195,ITALY,25-44,Leisure and Holidays,Wildlife tourism,"Radio, TV, Web",Independent,No,No,No,No,Credit Card,Yes,5801250.0
196,CHINA,25-44,Business,Wildlife tourism,"Travel, agent, tour operator",Independent,No,No,No,No,Cash,No,3315000.0
197,ITALY,25-44,Leisure and Holidays,Wildlife tourism,"Friends, relatives",Package Tour,Yes,Yes,Yes,No,Credit Card,Yes,22693300.0
198,SOUTH AFRICA,25-44,Business,Mountain climbing,others,Independent,No,No,No,No,Cash,No,1989000.0
